Method,Triage_Handbook_overall_accuracy,Triage_Handbook_overall_precision,Triage_Handbook_overall_recall,Triage_Handbook_overall_f1_score,Triage_Handbook_overall_adjusted_accuracy,Triage_Handbook_overall_adjusted_precision,Triage_Handbook_overall_adjusted_recall,Triage_Handbook_overall_adjusted_f1,Triage_Handbook_overall_mae,Triage_Handbook_overall_mse,Triage_Handbook_overall_quadratic_kappa,Triage_Handbook_by_class_accuracy
LogReg,,,,,,,,,,,,
XGBoost,,,,,,,,,,,,
BioBERT,0.28708133971291866,0.24729239238104986,0.28708133971291866,0.25113503765077716,0.645933014354067,0.74775774042867,0.645933014354067,0.5845436114165596,1.2870813397129186,2.9043062200956937,0.11741952539637279,0.28708133971291866
Vanilla,0.7865168539325843,0.7986040177051413,0.7865168539325843,0.7883240355150467,1.0,1.0,1.0,1.0,0.21348314606741572,0.21348314606741572,0.9232584524619923,0.7865168539325843
AutoCoT,0.8146067415730337,0.8369607278232527,0.8146067415730337,0.8158958253025673,1.0,1.0,1.0,1.0,0.18539325842696628,0.18539325842696628,0.931952836274045,0.8146067415730337
CoT,0.8089887640449438,0.8326065320447342,0.8089887640449438,0.8087817115959182,0.9887640449438202,0.9897854954034729,0.9887640449438202,0.988916915080639,0.20224719101123595,0.2247191011235955,0.9091558640400123,0.8089887640449438
FewShot (40 shots),0.8314606741573034,0.8329341070914106,0.8314606741573034,0.8258027829758361,1.0,1.0,1.0,1.0,0.16853932584269662,0.16853932584269662,0.9397644723187294,0.8314606741573034
FewShotCoT (40 shots),0.7078651685393258,0.7161816959569769,0.7078651685393258,0.708003567902705,1.0,1.0,1.0,1.0,0.29213483146067415,0.29213483146067415,0.8943861250570516,0.7078651685393258
KATE (40 shots),0.8202247191011236,0.8229795304369426,0.8202247191011236,0.8210736579275905,1.0,1.0,1.0,1.0,0.1797752808988764,0.1797752808988764,0.933853586027499,0.8202247191011236
KATECoT (40 shots),0.7640449438202247,0.7825821904793655,0.7640449438202247,0.7633208630375216,1.0,1.0,1.0,1.0,0.23595505617977527,0.23595505617977527,0.9168187280252793,0.7640449438202247
Vanilla (o3-mini),0.651685393258427,0.7353956904518704,0.651685393258427,0.6324121874683672,0.9887640449438202,0.9891045284303711,0.9887640449438202,0.9885547923395351,0.3595505617977528,0.38202247191011235,0.8281658148779103,0.651685393258427
KATE (o3-mini | 5 shots),0.7078651685393258,0.733012306046014,0.7078651685393258,0.713669933044053,1.0,1.0,1.0,1.0,0.29213483146067415,0.29213483146067415,0.8837185929648241,0.7078651685393258
Llama-3.1-8B-Instruct (Fine-tuned),0.5842696629213483,0.5790602655771196,0.5842696629213483,0.5381415031271316,0.9550561797752809,0.9601233751927738,0.9550561797752809,0.9554100060071573,0.4606741573033708,0.550561797752809,0.7236200012675075,0.5842696629213483
