Method,Triage_Handbook_overall_accuracy,Triage_Handbook_overall_precision,Triage_Handbook_overall_recall,Triage_Handbook_overall_f1_score,Triage_Handbook_overall_adjusted_accuracy,Triage_Handbook_overall_adjusted_precision,Triage_Handbook_overall_adjusted_recall,Triage_Handbook_overall_adjusted_f1,Triage_Handbook_overall_mae,Triage_Handbook_overall_mse,Triage_Handbook_overall_quadratic_kappa,Triage_Handbook_by_class_accuracy,Triage_KTAS_overall_accuracy,Triage_KTAS_overall_precision,Triage_KTAS_overall_recall,Triage_KTAS_overall_f1_score,Triage_KTAS_overall_adjusted_accuracy,Triage_KTAS_overall_adjusted_precision,Triage_KTAS_overall_adjusted_recall,Triage_KTAS_overall_adjusted_f1,Triage_KTAS_overall_mae,Triage_KTAS_overall_mse,Triage_KTAS_overall_quadratic_kappa,Triage_KTAS_by_class_accuracy,Triage_MIMIC_overall_accuracy,Triage_MIMIC_overall_precision,Triage_MIMIC_overall_recall,Triage_MIMIC_overall_f1_score,Triage_MIMIC_overall_adjusted_accuracy,Triage_MIMIC_overall_adjusted_precision,Triage_MIMIC_overall_adjusted_recall,Triage_MIMIC_overall_adjusted_f1,Triage_MIMIC_overall_mae,Triage_MIMIC_overall_mse,Triage_MIMIC_overall_quadratic_kappa,Triage_MIMIC_by_class_accuracy
LogReg,,,,,,,,,,,,,0.472,0.500,0.472,0.418,0.905,0.924,0.905,0.901,0.623,0.813,0.369,0.472,0.564,0.551,0.564,0.483,0.962,0.960,0.962,0.955,0.474,0.550,0.306,0.564
XGBoost,,,,,,,,,,,,,0.342,0.388,0.342,0.291,0.772,0.822,0.772,0.741,0.912,1.475,0.059,0.342,0.210,0.390,0.210,0.211,0.766,0.885,0.766,0.805,1.048,1.616,0.216,0.210
BioBERT,0.287,0.247,0.287,0.251,0.646,0.748,0.646,0.585,1.287,2.904,0.117,0.287,0.330,0.312,0.330,0.261,0.864,0.883,0.864,0.853,0.824,1.169,0.074,0.330,0.656,0.645,0.656,0.640,0.974,0.974,0.974,0.973,0.372,0.432,0.498,0.656
Vanilla,0.787,0.799,0.787,0.788,1.000,1.000,1.000,1.000,0.213,0.213,0.923,0.787,0.520,0.525,0.520,0.511,0.952,0.953,0.952,0.951,0.530,0.634,0.599,0.520,0.568,0.617,0.568,0.585,0.962,0.977,0.962,0.968,0.473,0.561,0.562,0.568
AutoCoT,0.815,0.837,0.815,0.816,1.000,1.000,1.000,1.000,0.185,0.185,0.932,0.815,0.506,0.531,0.506,0.493,0.945,0.948,0.945,0.943,0.551,0.668,0.568,0.506,0.566,0.621,0.566,0.581,0.938,0.970,0.938,0.950,0.505,0.665,0.486,0.566
CoT,0.809,0.833,0.809,0.809,0.989,0.990,0.989,0.989,0.202,0.225,0.909,0.809,0.522,0.540,0.522,0.520,0.948,0.951,0.948,0.948,0.535,0.660,0.598,0.522,0.510,0.561,0.510,0.514,0.937,0.968,0.937,0.949,0.564,0.734,0.386,0.510
FewShot (40 shots),0.831,0.833,0.831,0.826,1.000,1.000,1.000,1.000,0.169,0.169,0.940,0.831,0.518,0.522,0.518,0.516,0.953,0.954,0.953,0.953,0.532,0.639,0.603,0.518,0.563,0.579,0.563,0.567,0.981,0.981,0.981,0.981,0.456,0.494,0.546,0.563
FewShotCoT (40 shots),0.708,0.716,0.708,0.708,1.000,1.000,1.000,1.000,0.292,0.292,0.894,0.708,0.561,0.562,0.561,0.559,0.955,0.955,0.955,0.955,0.484,0.573,0.624,0.561,0.588,0.606,0.588,0.591,0.977,0.978,0.977,0.977,0.436,0.486,0.550,0.588
KATE (40 shots),0.820,0.823,0.820,0.821,1.000,1.000,1.000,1.000,0.180,0.180,0.934,0.820,0.608,0.608,0.608,0.607,0.960,0.961,0.960,0.960,0.432,0.511,0.667,0.608,0.678,0.678,0.678,0.677,0.990,0.990,0.990,0.990,0.332,0.352,0.654,0.678
KATECoT (40 shots),0.764,0.783,0.764,0.763,1.000,1.000,1.000,1.000,0.236,0.236,0.917,0.764,0.589,0.598,0.589,0.591,0.974,0.975,0.974,0.974,0.439,0.497,0.667,0.589,0.640,0.640,0.640,0.639,0.986,0.986,0.986,0.986,0.374,0.402,0.601,0.640
Llama-3.1-8B-Instruct (Fine-tuned),0.584,0.579,0.584,0.538,0.955,0.960,0.955,0.955,0.461,0.551,0.724,0.584,0.718,0.737,0.718,0.696,0.968,0.969,0.968,0.967,0.320,0.413,0.656,0.718,0.637,0.633,0.637,0.626,0.982,0.982,0.982,0.982,0.381,0.417,0.595,0.637
Vanilla (o3-mini),0.652,0.735,0.652,0.632,0.989,0.989,0.989,0.989,0.360,0.382,0.828,0.652,0.604,0.611,0.604,0.606,0.957,0.956,0.957,0.955,0.442,0.542,0.645,0.604,0.491,0.576,0.491,0.496,0.917,0.952,0.917,0.928,0.601,0.803,0.366,0.491
KATE (o3-mini | 5 shots),0.708,0.733,0.708,0.714,1.000,1.000,1.000,1.000,0.292,0.292,0.884,0.708,0.554,0.561,0.554,0.555,0.933,0.934,0.933,0.932,0.515,0.656,0.573,0.554,0.624,0.622,0.624,0.622,0.969,0.970,0.969,0.970,0.408,0.474,0.520,0.624
