Method,Triage_KTAS_overall_accuracy,Triage_KTAS_overall_precision,Triage_KTAS_overall_recall,Triage_KTAS_overall_f1_score,Triage_KTAS_overall_adjusted_accuracy,Triage_KTAS_overall_adjusted_precision,Triage_KTAS_overall_adjusted_recall,Triage_KTAS_overall_adjusted_f1,Triage_KTAS_overall_mae,Triage_KTAS_overall_mse,Triage_KTAS_overall_quadratic_kappa,Triage_KTAS_by_class_accuracy
LogReg,0.47150259067357514,0.500462952576997,0.47150259067357514,0.4182469761820638,0.9050086355785838,0.923734415106249,0.9050086355785838,0.9010054221304983,0.6234887737478411,0.8134715025906736,0.36918621461764967,0.47150259067357514
XGBoost,0.34196891191709844,0.3882290643130567,0.34196891191709844,0.2907779324106367,0.772020725388601,0.82223869589665,0.772020725388601,0.7412777747224233,0.9119170984455959,1.4749568221070812,0.05918862044165041,0.34196891191709844
BioBERT,0.3298791018998273,0.31228373178195923,0.3298791018998273,0.2605722812103006,0.8635578583765112,0.8832116659259983,0.8635578583765112,0.8531444782160913,0.8238341968911918,1.1692573402417963,0.07352555360430724,0.3298791018998273
Vanilla,0.5198618307426598,0.5254765673246707,0.5198618307426598,0.51089367577284,0.9516407599309153,0.9534521233122609,0.9516407599309153,0.9506892617476455,0.5302245250431779,0.6338514680483592,0.5985843255711153,0.5198618307426598
AutoCoT,0.5060449050086355,0.5312047850309418,0.5060449050086355,0.49287136895106765,0.9447322970639033,0.9484137961840267,0.9447322970639033,0.9426509063271917,0.5509499136442142,0.6683937823834197,0.568430581369594,0.5060449050086355
CoT,0.5215889464594128,0.5404063094825996,0.5215889464594128,0.519976310297013,0.9481865284974094,0.9512495512265344,0.9481865284974094,0.9475984629691265,0.5354058721934369,0.6597582037996546,0.5976548146153875,0.5215889464594128
FewShot (40 shots),0.5181347150259067,0.5219457108059482,0.5181347150259067,0.5162848683438302,0.9533678756476683,0.9540299755639184,0.9533678756476683,0.9533547726503939,0.531951640759931,0.6390328151986183,0.6032601448953288,0.5181347150259067
FewShotCoT (40 shots),0.5613126079447323,0.5620204141351767,0.5613126079447323,0.5591543467465355,0.9550949913644214,0.9548223850871307,0.9550949913644214,0.9548760832792118,0.4835924006908463,0.5734024179620034,0.6241788663663663,0.5613126079447323
KATE (40 shots),0.6079447322970639,0.6076792284834637,0.6079447322970639,0.6071330919485106,0.9602763385146805,0.9610220347089758,0.9602763385146805,0.9604690694404936,0.4317789291882556,0.5112262521588946,0.6672026098100896,0.6079447322970639
KATECoT (40 shots),0.5889464594127807,0.5979215008199563,0.5889464594127807,0.5905769264029378,0.9740932642487047,0.9747494719254394,0.9740932642487047,0.9741786922046456,0.4386873920552677,0.49740932642487046,0.6673117515851132,0.5889464594127807
Vanilla (o3-mini),0.6044905008635578,0.611251496987553,0.6044905008635578,0.6058784792376626,0.9568221070811744,0.9556991556403346,0.9568221070811744,0.9552502419859933,0.4421416234887737,0.542314335060449,0.6445672191528544,0.6044905008635578
KATE (o3-mini | 5 shots),0.5544041450777202,0.5608463753271833,0.5544041450777202,0.5547955623667662,0.9326424870466321,0.9337395675088545,0.9326424870466321,0.9316596038630874,0.5146804835924007,0.6563039723661486,0.5729674126118433,0.5544041450777202
Llama-3.1-8B-Instruct (Fine-tuned),0.7180232558139535,0.737097385871872,0.7180232558139535,0.6959464439016109,0.9680232558139535,0.9689657890206316,0.9680232558139535,0.9667436707964568,0.31976744186046513,0.4127906976744186,0.6562324062605562,0.7180232558139535
